UFSoL,UDFS,U2FS,SRCFS,SOGFS,SOCFS,RUFS,NDFS,LLCFS,Inf_FS2020,Inf_FS,FSASL,FMIUFS,CNAFS,jelsr_lle,GLSPFS,LS,MCFS,NONE,REFS,AutoSpearman,SPEC,CFS,XGBF,RFF
22.0,4.0,4.0,1.0,2.0,18.0,2.0,44.0,19.0,2.0,2.0,2.0,1.0,34.0,1.0,2.0,12.0,71.0,1.0,1.0,18.0,20.0,4.0,1.0,1.0
1.0,1.0,1.0,1.0,39.0,23.0,13.0,67.0,23.0,23.0,45.0,3.0,1.0,7.0,4.0,4.0,22.0,32.0,1.0,1.0,3.0,10.0,1.0,17.0,10.0
2.0,2.0,8.0,4.0,3.0,16.0,16.0,16.0,57.0,32.0,32.0,6.0,1.0,5.0,5.0,2.0,11.0,60.0,2.0,1.0,4.0,10.0,2.0,8.0,1.0
44.0,1.0,21.0,1.0,1.0,1.0,5.0,13.0,16.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,58.0,14.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,12.0,25.0,22.0,13.0,1.0,1.0,13.0,1.0,18.0,1.0,27.0,17.0,4.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0
4.0,3.0,1.0,1.0,1.0,10.0,11.0,11.0,44.0,1.0,1.0,2.0,9.0,5.0,35.0,46.0,9.0,7.0,2.0,1.0,13.0,4.0,3.0,1.0,2.0
2.0,6.0,7.0,3.0,4.0,39.0,8.0,39.0,38.0,39.0,39.0,39.0,3.0,6.0,3.0,7.0,18.0,15.0,2.0,2.0,2.0,15.0,4.0,6.0,20.0
1.0,1.0,1.0,1.0,1.0,21.0,48.0,15.0,1.0,47.0,26.0,1.0,1.0,6.0,1.0,1.0,16.0,22.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
54.0,3.0,3.0,1.0,4.0,2.0,2.0,4.0,52.0,2.0,2.0,3.0,4.0,22.0,1.0,2.0,8.0,39.0,1.0,1.0,2.0,20.0,6.0,2.0,20.0
1.0,1.0,1.0,1.0,62.0,17.0,11.0,15.0,17.0,1.0,2.0,1.0,1.0,13.0,1.0,17.0,89.0,44.0,1.0,1.0,19.0,19.0,1.0,11.0,1.0
53.0,6.0,9.0,2.0,3.0,18.0,53.0,9.0,18.0,32.0,32.0,54.0,5.0,2.0,21.0,22.0,53.0,71.0,4.0,1.0,10.0,23.0,4.0,5.0,13.0
1.0,1.0,3.0,1.0,1.0,11.0,1.0,20.0,1.0,1.0,1.0,3.0,1.0,10.0,7.0,1.0,7.0,7.0,1.0,1.0,4.0,37.0,1.0,1.0,18.0
36.0,2.0,2.0,2.0,1.0,18.0,19.0,37.0,18.0,3.0,25.0,1.0,2.0,13.0,9.0,3.0,22.0,6.0,2.0,2.0,1.0,13.0,2.0,2.0,1.0
14.0,3.0,51.0,4.0,51.0,14.0,8.0,35.0,1.0,1.0,36.0,1.0,1.0,3.0,51.0,34.0,16.0,9.0,1.0,1.0,1.0,31.0,1.0,4.0,51.0
1.0,1.0,1.0,1.0,2.0,17.0,12.0,1.0,60.0,61.0,35.0,1.0,1.0,2.0,3.0,4.0,13.0,41.0,1.0,1.0,3.0,18.0,1.0,61.0,60.0
3.0,52.0,52.0,52.0,52.0,24.0,7.0,9.0,9.0,34.0,34.0,2.0,52.0,55.0,18.0,35.0,14.0,14.0,52.0,52.0,9.0,13.0,52.0,6.0,11.0
2.0,2.0,2.0,2.0,2.0,21.0,21.0,21.0,21.0,23.0,30.0,2.0,2.0,2.0,2.0,3.0,12.0,35.0,2.0,2.0,1.0,5.0,1.0,16.0,21.0
2.0,2.0,2.0,2.0,1.0,19.0,51.0,44.0,46.0,51.0,27.0,22.0,1.0,19.0,2.0,46.0,84.0,41.0,2.0,2.0,13.0,22.0,1.0,14.0,19.0
