UFSoL,UDFS,U2FS,SRCFS,SOGFS,SOCFS,RUFS,NDFS,LLCFS,Inf_FS2020,Inf_FS,FSASL,FMIUFS,CNAFS,jelsr_lle,GLSPFS,LS,MCFS,NONE,REFS,AutoSpearman,SPEC,CFS,XGBF,RFF
7.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,7.0,23.0,35.0,3.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,5.0,1.0,1.0,5.0,13.0,29.0
5.0,1.0,1.0,5.0,12.0,4.0,3.0,4.0,1.0,5.0,4.0,1.0,3.0,1.0,4.0,1.0,29.0,14.0,2.0,1.0,1.0,1.0,11.0,1.0,3.0
2.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,6.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,5.0,1.0,1.0,2.0,4.0,1.0
4.0,1.0,2.0,1.0,4.0,1.0,1.0,6.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,87.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,6.0
2.0,5.0,2.0,3.0,7.0,4.0,2.0,4.0,4.0,4.0,4.0,6.0,6.0,3.0,5.0,4.0,55.0,17.0,3.0,5.0,1.0,11.0,5.0,7.0,7.0
10.0,3.0,1.0,6.0,3.0,4.0,1.0,1.0,1.0,8.0,1.0,55.0,3.0,5.0,6.0,1.0,87.0,21.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0
1.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,5.0,9.0,7.0,1.0,1.0,3.0,3.0,16.0,11.0,1.0,2.0,1.0,1.0,5.0,5.0,3.0
3.0,5.0,1.0,5.0,2.0,3.0,3.0,5.0,2.0,20.0,29.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0
1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,48.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,4.0,4.0,5.0,1.0,2.0,8.0,1.0,1.0,29.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
6.0,2.0,1.0,5.0,1.0,20.0,1.0,1.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,18.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0
2.0,6.0,3.0,5.0,3.0,2.0,2.0,5.0,8.0,1.0,1.0,10.0,1.0,5.0,5.0,2.0,21.0,9.0,1.0,8.0,4.0,4.0,1.0,3.0,2.0
3.0,1.0,1.0,1.0,7.0,1.0,6.0,6.0,1.0,3.0,16.0,1.0,1.0,3.0,7.0,2.0,2.0,23.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0
1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,61.0,2.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0
3.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,5.0,3.0,4.0,2.0,1.0,3.0,1.0,13.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,12.0,3.0,2.0,1.0,5.0,19.0,6.0,1.0,5.0,1.0,3.0,5.0,8.0,2.0
4.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,7.0,7.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0
2.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,3.0,10.0,8.0,1.0,2.0,3.0,10.0,21.0,4.0,4.0,1.0,6.0,3.0,3.0,2.0
1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,10.0,19.0,23.0,6.0,1.0,1.0,1.0,1.0,7.0,11.0,1.0,2.0,1.0,1.0,7.0,6.0,3.0
1.0,1.0,1.0,1.0,1.0,11.0,1.0,3.0,4.0,2.0,4.0,1.0,1.0,10.0,1.0,1.0,7.0,8.0,1.0,2.0,1.0,1.0,3.0,1.0,6.0
4.0,1.0,1.0,1.0,6.0,4.0,1.0,2.0,4.0,3.0,4.0,5.0,1.0,3.0,1.0,7.0,18.0,1.0,1.0,1.0,2.0,5.0,14.0,1.0,1.0
5.0,1.0,10.0,4.0,4.0,1.0,1.0,3.0,5.0,5.0,3.0,5.0,1.0,8.0,7.0,1.0,94.0,14.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0
