1.626016260162543945e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.498644986449860245e-02,nan,nan,nan,6.504065040650331038e-03,nan,nan,-2.220446049250313204e-17,nan,nan,nan,nan,nan,2.168021680216769640e-03,nan,1.626016260162543945e-03,-1.626016260162632633e-03,-2.710027100271061688e-03,-4.336043360433627751e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.084010840108406938e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.652892561983487730e-03,nan,nan,nan,nan,nan,nan,nan,2.203856749311317118e-03,nan,nan,nan,nan,nan,nan,nan,nan,3.581267217630854788e-02,nan,-5.509641873278070534e-04,nan,nan,nan,-1.101928374655658559e-03,nan,nan,nan,1.101928374655658559e-03,nan,0.000000000000000000e+00,nan,nan,3.305785123966975460e-03,nan,nan,nan,nan,nan,nan,nan,nan,4.297520661157026162e-02,nan,nan,1.101928374655658559e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.512534818941511816e-02,nan,-1.114206128133687869e-03,nan,nan,nan,-1.114206128133665751e-03,nan,nan,nan,nan,nan,nan,7.130919220055713381e-02,nan,nan,-1.169916434540385630e-02,nan,-1.114206128133687869e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.799442896935970988e-03,nan,nan,nan,nan,nan,nan,-5.571030640668217081e-04,-5.013927576601617635e-03,nan,-1.671309192200509577e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.041666666666718477e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.687500000000004163e-02,nan,nan,nan,nan,nan,nan,nan,nan,1.041666666666718477e-03,5.729166666666696620e-03,nan,nan,nan,nan,nan,5.104166666666669350e-02,nan,-5.208333333333259535e-04,nan,nan,nan,nan,1.000000000000000472e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,-3.645833333333281349e-03,nan,nan,nan,nan,nan,nan,nan,5.677083333333336757e-02,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.714285714285690345e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.142857142857178722e-03,nan,nan,2.285714285714313208e-03,nan,nan,nan,nan,1.657142857142861539e-02,8.000000000000007105e-03,nan,nan,nan,-1.142857142857090034e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.285714285714316327e-03,nan,-6.285714285714250407e-03,nan,nan,nan,1.885714285714288480e-02,nan,nan,-6.285714285714250407e-03,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,8.287292817679526441e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.077348066298360676e-03,nan,nan,nan,nan,nan,nan,nan,5.524861878452913327e-04,1.823204419889503519e-02,nan,1.104972375690582665e-03,nan,nan,nan,nan,nan,nan,nan,1.546961325966851250e-02,nan,nan,nan,nan,nan,nan,nan,nan,8.287292817679547258e-03,nan,nan,6.077348066298315574e-03,nan,9.392265193370174375e-03,nan,nan,3.535911602209942245e-02,nan,nan
nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,1.092896174863389278e-03,nan,5.901639344262301495e-02,nan,nan,nan,4.371584699453578797e-03,nan,nan,nan,nan,nan,nan,nan,nan,3.278688524590167575e-02,nan,nan,-1.639344262295061583e-03,nan,0.000000000000000000e+00,2.732240437158472979e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.464480874316724130e-04,nan,nan,nan,nan,3.825136612021862257e-03,nan,nan,nan,nan,nan
nan,nan,nan,8.791208791208759976e-03,nan,nan,nan,nan,nan,nan,1.263736263736259247e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.890109890109885921e-02,nan,nan,3.956043956043953091e-02,nan,-1.098901098901117115e-03,-1.648351648351664613e-03,nan,nan,nan,3.901098901098896260e-02,nan,nan,nan,nan,nan,nan,1.813186813186808827e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,3.296703296703284991e-03,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,3.351648351648348761e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.098901098901094997e-03,nan,nan,nan,nan,nan,nan,nan,nan,5.274725274725269170e-02,nan,nan,1.648351648351642496e-03,1.703296703296697245e-02,1.098901098901094997e-03,nan,nan,nan,nan,nan,nan,nan,nan,3.186813186813184512e-02,nan,2.252747252747251336e-02,nan,nan,nan,nan,nan,nan,nan,9.340659340659307475e-03,nan,nan,nan,nan,nan,nan,7.692307692307664979e-03,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.203856749311299337e-02,nan,nan,nan,nan,nan,nan,-4.958677685950351952e-03,nan,nan,nan,nan,nan,nan,-4.958677685950351952e-03,-5.509641873277848273e-04,nan,nan,4.407713498622634236e-03,nan,8.815426997245200819e-03,nan,nan,nan,nan,nan,-4.958677685950374503e-03,-1.101928374655569655e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.509641873277848273e-04,nan,nan,nan,nan,1.322314049586779082e-02,nan,nan,nan,nan,nan
